Chr11	TSSStart	TSSStop	GeneName	P4D7F4_R1	P4D7F4_R2	Ev9D_R1	Ev9D_R2	Ev12A_R1	Ev12A_R2	X739D12_R1	X739D12_R2	CL3_DelR1N_FBC_R1	CL3_DelR1N_FBC_R2	CL6_DelBFLXist_R1	CL6_DelBFLXist_R2	MiniXist_R1	MiniXist_p.value1	MiniXist_R2	MiniXist_p.value2	MiniXist_Fishers_p.value	MiniXist_q.vaule	DelB_MiniXist_R1	DelBMiniXist_p.value1	DelB_MiniXist_R2	DelB_MiniXist_p.value2	DelB_MiniXist_Fishers_p.value	DelB_MiniXist_q.vaule	rRS	MiniXist_cRS	DelB_MiniXist_cRS	site	site2	Sig
chr11	55461137	55461138	Atox1	0.045085916	0.007813455	0.050389426	0	0	0.0915	0	0	0	0	0.01955924	0.00610123	0	0.5034	0.0523	0.127	0.239740311	0.342486159	0.0402	0.2176	0.0242	0.3264	0.258865524	0.611534142	0.02582219925	0.000327800749999999	0.00637780075	56	L	2.17884876684299
chr11	55469751	55469752	G3bp1	0.090907078	0.059995589	0	0	0	0.0095	0.248885411	0.313162201	0.00450699	0.083776539	0	0.03408976	0.0361	0.034	0	0.5023	0.086585662	0.147473051	0	0.5005	0.0564	0.0055	0.018980638	0.125373289	0.03772566675	0	0	56	L	0.921814107022639
chr11	57518643	57518644	Fam114a2	0	0.067616872	0.067462057	0.064177353	0	0.0374	0	0	0.031217013	0.12338169	0	0	0.0941	0.0689	0	0.4944	0.149184311	0.229339657	0	0.4958	0.0018	0.4782	0.578339548	0.611534142	0.0498140705	0	0	58	L	2.99430173137102
chr11	57518664	57518665	Mfap3	0.011349365	0	0.100390008	0	0.0772	0.1174	0.105120865	0	0.067760706	0	0.060543291	0	0.2102	0	0.0271	0.3139	0	0	0.0577	0.0913	0.0262	0.289	0.122295954	0.457477457	0.02793484325	0.09071515675	0.01401515675	58	L	26.4994023807841
chr11	57645441	57645442	Galnt10	0.233228412	0.213007951	0.059239708	0	0.0806	0.0944	0	0.056761313	0.307026207	0.207475827	0.029392754	0.039698677	0	0.4963	0.1354	0.039	0.095709452	0.15925296	0	0.5086	0	0.5063	0.606865078	0.611534142	0.12636901775	0	0	58	L	3.73590754992025
chr11	57801636	57801637	Sap30l	0.005146197	0	0.313966582	0.13667678	0	0.0719	0.113987258	0	0.063293465	0.18206344	0.084561628	0.178922026	0.2321	0.0186	0.2796	0.0106	0.00187923	0.005214346	0.157	0.1	0.1849	0.0821	0.047637723	0.240570503	0.11394738975	0.14190261025	0.05700261025	58	L	3.68932840609705
chr11	58009063	58009064	Larp1	0	0	0	0.049537639	0.0499	0.0701	0.094457564	0.09945617	0	0	0	0	0.094	1e-04	0.016	0.2631	0.000303764	0.001033001	0	0.4939	0.0272	0.1146	0.21914354	0.611534142	0.01238440975	0.04261559025	0.00121559025	59	L	13.9802825921009
chr11	58104152	58104153	Cnot8	0	0	0.037864572	0	0.0406	0.1501	0.471431406	0	0	0	0.034529406	0	0.0132	0.406	0.1594	0.002	0.0065902	0.015685766	0.1548	0.0024	0.0691	0.1402	0.003027301	0.032877141	0.009466143	0.076833857	0.102483857	59	L	1.21669948759733
chr11	58168538	58168539	Gemin5	0	0	0.079364684	0.04609237	0.06	0.1406	0.262594069	0.152097404	0	0	0	0	0.1485	0	0.0606	0.0305	0	0	0.0587	0.0651	0.0141	0.3659	0.112841148	0.436664979	0.0313642635	0.0731857365	0.0050357365	59	L	25.0103072637379
chr11	58171653	58171654	Mrpl22	0	0	0	0.381571457	0	0.2	0	0	0.090398204	0	0.000645047	0	0	0.5003	0.179	0.0632	0.140830795	0.217612003	0.1363	0.0795	0.1757	0.0399	0.02142205	0.136938422	0.09539286425	0	0.06060713575	59	L	0.767037144914147
chr11	58199555	58199556	Igtp	0	0.066415724	0	0	0.299	0.156	0.278567752	1	0.583164341	0	0.035310033	0.289768933	0.4077	0.0057	0.379	0.01	0.00061403	0.001931995	0	0.4982	0.7825	0.0093	0.029534691	0.172161673	0.016603931	0.376746069	0.374646069	59	L	3.55205253855779
chr11	58307068	58307069	Zfp692	0.169147336	0.143384559	0.415287527	0.252288088	0.0505	0	0	0	0	0	0	0	0	0.499	0.1222	0.0721	0.155599036	0.237753444	0	0.4964	0.2775	0.0085	0.027291342	0.163102105	0.2450268775	0	0	59	L	0.792179241538469
chr11	58330338	58330339	Zfp672	0	0	0.153615824	0.162269378	0.1199	0.0668	0.165792664	0.178162297	0.058426135	0	0.001158401	0	0	0.5016	0	0.5052	0.601275397	0.608316432	0	0.5026	0	0.5008	0.598927393	0.611534142	0.0789713005	0	0	59	L	1.01072744852518
chr11	58330717	58330718	Sh3bp5l	0.051882469	0.321178902	0.094391297	0	0.1774	0.3879	0	0	0	0	0	0.125668703	0.1486	0.0358	0.1244	0.0679	0.017063206	0.036589889	0.0927	0.1019	0	0.4998	0.202562917	0.598212125	0.116863167	0.019636833	0	59	L	6.43814677322608
chr11	58867239	58867240	2810021J22Rik	0.304851073	0.104586845	0	0	0.0039	0.1014	0	0	0.04631057	0.131849788	0	0.099791871	0	0.505	0.0427	0.3681	0.498669388	0.606814557	0.0631	0.2353	0	0.4948	0.366800989	0.611534142	0.1023594795	0	0	59	L	1.01575395306733
chr11	58904224	58904225	Zfp39	0.056880711	0	0.07551113	0.091947687	0	0	0	0	0.017605097	0	0	0	0.1486	0.0466	0.271	0.0012	0.000603466	0.001904688	0.1015	0.098	0.1027	0.1319	0.069135768	0.308969583	0.056084882	0.153715118	0.046015118	59	L	5.33279710106581
chr11	58938905	58938906	Rnf187	0	0	0	0	0	0	0.130918711	0	0	0	0	0.036361094	0.0645	0.17	0.0319	0.3187	0.21213581	0.308727908	0	0.5043	0	0.4899	0.592475734	0.611534142	0	0.0482	0	59	L	2.38985768340977
chr11	58948910	58948911	Hist3h2ba	0.3544867	0.574955706	0	0.13467287	0.0101	0	0.078458832	0	0	0	0	0.028954704	0	0.4931	0	0.5032	0.593971309	0.608316432	0	0.4932	0.0056	0.487	0.58277672	0.611534142	0.266028819	0	0	59	L	1.01072744852518
chr11	58954511	58954512	Hist3h2bb-ps	0.107050754	0.33833976	0	0	0.0474	0	0.122074259	0.477052559	0	0	0	0.041087601	0	0.5004	0	0.5101	0.603802409	0.608316432	0	0.4906	0	0.4977	0.588425266	0.611534142	0.1113476285	0	0	59	L	1.01072744852518
chr11	58954684	58954685	Hist3h2a	0	0	0	0.02119662	0.0219	0.0126	0.180150951	0	0	0	0.022937031	0	0.0327	0.2982	0	0.4973	0.431323414	0.543634223	0	0.49	0	0.4952	0.586272375	0.611534142	0.005299155	0.011050845	0	59	L	1.23932058107239
chr11	58978092	58978093	Trim11	0	0	0.100474435	0.026650636	0.1326	0	0	0	0	0	0.010840583	0	0.1194	0.0028	0.0444	0.1822	0.004377574	0.011053374	0.0293	0.2533	0	0.5044	0.390648503	0.611534142	0.03178126775	0.05011873225	0	59	L	9.16055620717903
chr11	59163744	59163745	Iba57	0	0.206951076	0.071318992	0.290110259	0	0	0	0.096992526	0	0.053759913	0.008753757	0.083849152	0.0586	0.3409	0	0.4995	0.471727784	0.583642343	0.033	0.3607	0.303	0	0	0	0.14209508175	0	0.02590491825	60	L	0.0259836896682579
chr11	59183212	59183213	Gjc2	0.165234017	0	0	0.224782642	0.5183	0	0.680447333	0.84875579	0.502215662	0.236926253	0	0.083785687	0.0639	0.3753	0.6318	0.0021	0.006419987	0.015329046	0	0.5029	0	0.506	0.602727042	0.611534142	0.09750416475	0.25034583525	0	60	L	8.49560291903678
chr11	59191951	59191952	Guk1	0.142416307	0.04834462	0.257231687	0.05449165	0.2739	0.268	0.798545171	0.924137715	0	0	0.06278411	0	0.1502	0.011	0.064	0.1643	0.013222064	0.02922163	0	0.4968	0	0.4942	0.590320586	0.611534142	0.125621066	0	0	60	L	7.1837280840414
chr11	59202516	59202517	Mrpl55	0	0.211596746	0.0508331	0.554384001	0.1048	0	0.140372345	1	0	0	0.083726147	0	0.0518	0.338	0.4163	4e-04	0.001339664	0.003811092	0.1039	0.161	0	0.5039	0.284899147	0.611534142	0.20420346175	0.02984653825	0	60	L	11.3257724898184
chr11	59208360	59208361	2310033P09Rik	0	0	0	0.595105264	0	0.1539	0	0	0	0	0.027796248	0.144341458	0.0141	0.4694	0.2824	0.0964	0.185324251	0.274453803	0.0513	0.2743	0.1357	0.0903	0.116369857	0.446895649	0.148776316	0	0	60	L	1.6053189872515
chr11	59228266	59228267	Arf1	0.094277066	0.064208726	0	0.03915998	0	0.0654	0.352260469	0.538446107	0.105605388	0.310641095	0	0	0	0.5029	0	0.5016	0.599689049	0.608316432	0	0.5056	0.1461	0	0	0	0.049411443	0	0.023638557	60	L	0.0239856057100443
chr11	59306929	59306930	Wnt9a	0.059847976	0	0	0	0	0	0	0.089887822	0.064269058	0.136525117	0.104407032	0	0.0393	0.4038	0.0227	0.445	0.488133579	0.598177099	0.2147	0.0769	0	0.5042	0.164786393	0.530312683	0.014961994	0.016038006	0.092388006	60	L	0.810149378393465
chr11	59449955	59449956	Snap47	0	0.099115496	0	0	0.0834	0.0384	0	0	0	0	0.043517402	0	0.0129	0.3961	0	0.5012	0.519508726	0.608316432	0	0.5016	0	0.5047	0.600930986	0.611534142	0.024778874	0	0	60	L	1.01072744852518
chr11	59450044	59450045	Jmjd4	0	0	0.169876409	0.274552826	0.266	0.1774	0.177619161	0.23020192	0	0	0.038137872	0	0	0.5031	0	0.5051	0.602245619	0.608316432	0.0597	0.2054	0.1872	0.0106	0.015523062	0.110924536	0.11110730875	0	0.01234269125	60	L	0.226048896241403
chr11	59472473	59472474	Zfp867	0.037653477	0.045834489	0.045615641	0	0.4375	0.3775	0	0.274692371	0	0	0	0	0.1412	0.0516	0.2295	0.0058	0.002727677	0.00723085	0.0014	0.4914	0.0175	0.4086	0.523151122	0.611534142	0.03227590175	0.15307409825	0	60	L	10.0234932986621
chr11	59505684	59505685	4933439C10Rik	0.167166531	0.065882012	0.078207084	0	0.0517	0.2521	0	0	0.145604962	0	0.062505657	0	0.2643	0.0183	0.2438	0.0277	0.004352926	0.011018685	0	0.5042	0.1173	0.176	0.303670294	0.611534142	0.07781390675	0.17623609325	0	60	L	9.16694773108467
chr11	59506639	59506640	Zkscan17	0.005907152	0	0.011630365	0	0	0	0.085445427	0.153460824	0.120129854	0.200599985	0	0	0.2079	7e-04	0.0952	0.0607	0.000470205	0.001536915	0	0.5064	0	0.5019	0.602309113	0.611534142	0.00438437925	0.14716562075	0	60	L	13.1723907359953
chr11	59662494	59662495	Mprip	0	0	0.065639516	0	0.0946	0.0861	0.074598402	0.053936462	0	0	0.204197729	0.09676134	0.0234	0.2252	0.1046	5e-04	0.001136322	0.003317009	0	0.4965	0	0.495	0.590670067	0.611534142	0.016409879	0.047590121	0	60	L	11.6081161841894
chr11	59787656	59787657	Pld6	0.196594949	0.042431176	0.168516721	0.249909423	0.178	0.1388	0.334808166	0.899690285	0.11442653	0.122041773	0	0	0	0.5065	0	0.5063	0.605420375	0.608316432	0	0.5003	0	0.5049	0.600166505	0.611534142	0.16436306725	0	0	60	L	1.01072744852518
chr11	59810038	59810039	Flcn	0	0.013263861	0	0	0.2378	0.0638	0	0	0	0	0	0.008633179	0.1748	6e-04	0.1534	0.0049	4.04e-05	0.000163164	0	0.5075	0	0.5055	0.605556849	0.611534142	0.00331596525	0.16078403475	0	60	L	17.7328662579651
chr11	59810079	59810080	Gm16062	0	0.04322037	0.304997868	0	0	0	0.044864729	0.169703061	0	0	0.116846326	0.095568195	0	0.4945	0	0.501	0.593436598	0.608316432	0.1474	0.1847	0.2047	0.1536	0.129435656	0.473928511	0.0870545595	0	0.0889954405	60	L	0.66567683233494
chr11	59839766	59839767	Cops3	0.144562787	0.110167606	0	0	0.0075	0.0262	0	0.186892459	0	0.001436349	0.012995723	0	0.0655	0.0621	0	0.4946	0.137694288	0.214616097	0.1995	0	0.0211	0.3599	0	0	0.06368259825	0	0.04661740175	60	L	0.0742597450482838
chr11	59848072	59848073	Nt5m	0.889632414	0.765911371	0	0.537461743	0	0	0	0	0	0.095053643	0	0	0	0.4942	0	0.5019	0.593847328	0.608316432	0.2858	0.0016	0	0.4986	0.006488743	0.056013933	0.548251382	0	0	60	L	0.172461272300201
chr11	59948213	59948214	Med9	0.078618547	0.148495856	0.029778493	0.235516163	0.0581	0	0.070582234	0.360176877	0	0	0.002293866	0.108570735	0	0.492	0	0.504	0.59374836	0.608316432	0.1152	0.08	0.1203	0.0753	0.036818711	0.201010259	0.12310226475	0	0	60	L	0.309810702912437
chr11	60046488	60046489	Pemt	0.163072571	0.197752447	0.323865039	0.155243731	0	0.0637	0.202308479	0.117665014	0	0	0.19728768	0.005600291	0	0.4963	0	0.505	0.597448238	0.608316432	0.0155	0.4673	0.3374	0.0081	0.02489357	0.153307962	0.209983447	0	0	61	L	0.265055376275931
chr11	60105012	60105013	Rai1	0	0	0.310855928	0.158494335	0.0755	0.2445	0.219736054	0.17436387	0	0	0.016871668	0	0.0141	0.3745	0.153	7e-04	0.002423995	0.006476811	0	0.4991	0.0121	0.3164	0.4493789	0.611534142	0.11733756575	0	0	61	L	10.2474294360726
chr11	60220603	60220604	Srebf1	0	0	0.022936346	0	0.0779	0.0332	0.2258818	0.051100728	0	0	0	0	0.0012	0.4888	0.1052	0.0095	0.029590251	0.059501967	0	0.5048	0	0.5037	0.60245374	0.611534142	0.0057340865	0.0474659135	0	61	L	5.73776917611266
chr11	60352904	60352905	Tom1l2	0.119942146	0	0	0.027816761	0.6555	0.3838	0.149574964	0.043175702	0.182183459	0.123662335	0.156276108	0.164909963	0.1072	0.034	0.2447	1e-04	4.62e-05	0.000185214	0.0247	0.3411	0.1645	4e-04	0.001350705	0.017268506	0.03693972675	0.13901027325	0.05766027325	61	L	2.11733597398294
chr11	60353379	60353380	Lrrc48	0	0	0.094503286	0	0.2834	0.1417	1	1	0	0	0	0	0.1992	0.0425	0.1621	0.1235	0.032803456	0.064373038	0	0.5089	0.1481	0.1592	0.284620219	0.611534142	0.0236258215	0.1570241785	0.0504241785	61	L	5.57776919592591
chr11	60417098	60417099	Atpaf2	0.084982787	0.054974198	0.240408335	0.183633499	0.1625	0	0.353396243	0.209174978	0	0	0.065422124	0	0	0.4957	0	0.4887	0.585706424	0.608316432	0.0091	0.4372	0	0.4973	0.549185793	0.611534142	0.14099970475	0	0	61	L	1.01072744852518
chr11	60417144	60417145	Gid4	0	0.015148459	0	0.023744109	0.1121	0.0573	0	0	0	0	0	0	0.1236	0.0055	0.2445	0	0	0	0.1138	0.005	0.0306	0.2579	0.009869189	0.079110167	0.009723142	0.174326858	0.062476858	61	L	8.16869114557688
chr11	60454616	60454617	Drg2	0	0.011540362	0	0	0.1276	0.1574	0.03797564	0.244375541	0	0	0.051773733	0.016364306	0.0309	0.2711	0.0218	0.3407	0.312376161	0.429251596	0.0734	0.0667	8e-04	0.5038	0.147624242	0.49865686	0.0028850905	0.0234649095	0.0342149095	61	L	1.21538804339125
chr11	60469338	60469339	Myo15	0	0.060264814	0	0	0	0.1933	0.687623002	0.462792206	0	0	0	0.160833435	0	0.4988	0.0379	0.3993	0.52055138	0.608316432	0	0.5022	0.076	0.2483	0.384298214	0.611534142	0.0150662035	0.0038837965	0.0229337965	61	L	1.01072744852518
chr11	60537682	60537683	Alkbh5	0.032234786	0	0	0	0.0885	0.1072	0.077941902	0	0	0	0.023805355	0.041531414	0.1941	0	0.1489	2e-04	0	0	0.0632	0.0312	0	0.4999	0.080490575	0.343018906	0.0080586965	0.1634413035	0.0235413035	61	L	19.3680864290807
chr11	60699689	60699690	Llgl1	0	0	0	0	0	0	0.10440918	0	0	0	0.021982354	0	0	0.4936	0	0.4933	0.587467377	0.608316432	0	0.5027	0.0239	0.3493	0.481052397	0.611534142	0	0	0.01195	61	L	1.01072744852518
chr11	60727220	60727221	Flii	0	0	0.135757082	0	0.0749	0.1753	0.508205738	1	0	0	0	0	0.1534	0.0077	0.1494	0.0106	0.000849945	0.00256252	0	0.4961	0.0813	0.1318	0.243722802	0.611534142	0.0339392705	0.1174607295	0.0067107295	61	L	12.1328831097889
chr11	60728397	60728398	Mief2	0.338921456	0	0	0	0.263	0.0534	1	1	0	0	0	0.064124474	0.0429	0.3843	0.4698	0.0019	0.006003628	0.014471752	0	0.5023	0	0.4969	0.596008857	0.611534142	0.084730364	0.171619636	0	61	L	8.61262744066896
chr11	60777364	60777365	Top3a	0	0	0.028466314	0	0.2043	0.0851	0	0	0.0114139	0	0.090781826	0.039600738	0	0.4918	0.1645	0.011	0.033646485	0.065604149	0	0.5037	0	0.5031	0.601279721	0.611534142	0.0071165785	0.0751334215	0	61	L	5.53924813614664
chr11	60777524	60777525	Smcr8	0.006091463	0	0	0	0.1051	0	0.064161307	0.207384345	0.089222897	0	0.013466463	0	0.0177	0.3461	0.0526	0.2015	0.255454048	0.360851173	0.0035	0.4521	0	0.4988	0.56137876	0.611534142	0.00152286575	0.03362713425	0.00022713425	61	L	2.0726348340816
chr11	60811264	60811265	Shmt1	0	0.011016858	0.115613445	0.01828023	0.1903	0.2692	0.134581579	0.05766332	0	0	0	0.080288087	0.0292	0.178	0.0164	0.312	0.216075238	0.312808198	0	0.5007	0	0.5053	0.600719644	0.611534142	0.03622763325	0	0	61	L	2.36315923189061
chr11	60830630	60830631	Dhrs7b	0	0.03377736	0	0.187119266	0.428	0.214	0.377149459	0.50460101	0	0	0	0	0.0984	0.0468	0.2134	3e-04	0.000170917	0.000612151	0.013	0.4128	0	0.4971	0.530194199	0.611534142	0.0552241565	0.1006758435	0	61	L	15.0442522730482
chr11	60879037	60879038	Tmem11	0	0	0.341773209	0.128585956	0	0.0038	0	0	0	0.030330677	0	0	0.0252	0.2957	0	0.4956	0.427980877	0.54100211	0.0787	0.0656	0.0454	0.2053	0.071479207	0.316640347	0.11758979125	0	0	61	L	0.534207074496557
chr11	60913791	60913792	Gm16515	0	0.031195195	0	0.080428093	0.0638	0.0542	0	0	0.025162773	0	0	0	0.0649	0.1854	0.177	0.021	0.025495823	0.052127087	0	0.4956	0	0.4993	0.593029792	0.611534142	0.027905822	0.093044178	0	61	L	6.00683957849118
chr11	60931866	60931867	Map2k3os	0	0	0	0	0	0	0	0	0	0	0.050146308	0.013901109	0.0882	0.1007	0.0351	0.2723	0.126037747	0.199526841	0.0083	0.4552	0.1765	0.0143	0.039280825	0.211029964	0	0.06165	0.0924	61	L	1.03602839706275
chr11	60932056	60932057	Map2k3	0	0	0	0	0.1217	0.1142	0.069460728	0.108843161	0	0	0	0	0.0947	0.089	0.0489	0.2474	0.106038665	0.172740406	0	0.4986	0	0.5037	0.598158031	0.611534142	0	0.0718	0	61	L	3.57059928204574
chr11	61022563	61022564	Kcnj12	0	0.120511727	0	0	0.3784	0.1874	0.398746538	0	0	0	0.093417686	0.007347071	0.2844	0.0284	0.0577	0.3577	0.056781198	0.102647451	0.1314	0.2273	0.0894	0.2676	0.231121405	0.611534142	0.03012793175	0.14092206825	0.08027206825	62	R	4.62896858611003
chr11	61175058	61175059	Usp22	0	0	0.030541323	0	0.1275	0.144	0.012229841	0.029553709	0.056528758	0.043947024	0.023567314	0.016205393	0.0867	0.0118	0.133	0	0	0	0	0.4964	0	0.4986	0.59310235	0.611534142	0.00763533075	0.10221466925	0	62	R	42.1389170131285
chr11	61267126	61267127	Aldh3a2	0.038908728	0	0.45664754	0.302157311	0	0.1216	0.111178436	0.261518433	0.398015305	0.366111365	0.042805767	0.035218245	0.0706	0.1428	0.2364	5e-04	0.000753071	0.002304854	0.0842	0.0564	0	0.503	0.129433091	0.473928511	0.19942839475	0	0	62	R	8.13278073450633
chr11	61342859	61342860	Slc47a2	0.176962193	0.092225382	0.282468704	0	0	0	1	1	0	0.259113153	0.32060913	0.239419223	0.0263	0.3863	0.2455	0.0195	0.04435705	0.083687414	0	0.5026	0	0.4969	0.59621571	0.611534142	0.13791406975	0	0	62	R	5.0442149330141
chr11	61378074	61378075	Slc47a1	0.105516768	0.014925284	0	0	0.4741	0.1459	0	0	0.366480066	0.216311801	0.514162756	0.592343854	0.1211	0.1028	0.5313	0	0	0	0.6996	0.0025	0.3793	0.0656	0.001593366	0.019625601	0.030110513	0.296089487	0.509339487	62	R	5.27186105064953
chr11	61494265	61494266	Mapk7	0	0	0	0	0.1077	0.1011	0	0	0.128453301	0.075491533	0.045351212	0.02159084	0.3164	0	0.1817	0.0116	0	0	0	0.4888	0	0.496	0.585984529	0.611534142	0	0.24905	0	62	R	42.1389170131285
chr11	61505171	61505172	B9d1	0.053427129	0.126153675	0	0	0.0424	0.0146	0	0.022325787	0	0	0.033131522	0.091422478	0.1447	0.1166	0.0818	0.2492	0.131874083	0.207419757	0.1404	0.0714	0.1175	0.1585	0.062033113	0.283499748	0.044895201	0.068354799	0.084054799	62	R	1.24788239930773
chr11	61579686	61579687	Epn2	0	0.007450265	0	0	0.0036	0.0017	0	0	0	0	0.030473959	0.033549985	0.1561	1e-04	0.0696	0.0325	4.43e-05	0.000178339	0	0.5075	0	0.5071	0.606660264	0.611534142	0.00186256625	0.11098743375	0	62	R	17.5520352564507
chr11	61684409	61684410	Fam83g	0.039648363	0	0	0	0	0.0014	0	0	0.148249646	0.099987362	0.004022615	0.021676092	0	0.4962	0.0569	0.2039	0.332957583	0.447190371	0.0024	0.4795	0	0.5041	0.584950666	0.611534142	0.00991209075	0.01853790925	0	62	R	1.63642998570136
chr11	61762087	61762088	Prpsap2	0	0	0.104106198	0.031521754	0.1574	0.161	0.177007153	0	0	0	0.029597721	0.06005879	0.0176	0.3495	0.0158	0.3674	0.391967399	0.504314742	0.1146	0.012	0.0551	0.1499	0.013168359	0.097794432	0.033906988	0	0.050943012	62	R	0.294446367270484
chr11	61855091	61855092	Ulk2	0.154503814	0.177205203	0.110812047	0.197183714	0	0.1016	0	0	0.216785161	0.357394816	0.449965671	0.369905051	0.1411	0.07	0.0514	0.3046	0.103369394	0.169485533	0	0.5077	0.1835	0.0082	0.026983332	0.163102105	0.1599261945	0	0	62	R	0.978828938019379
chr11	61930256	61930257	Akap10	0	0	0.051281323	0	0	0	0	0	0	0.016321897	0.01257968	0.030399266	0.0181	0.3335	0	0.4993	0.465024204	0.578915511	0	0.5089	0	0.5023	0.604302505	0.611534142	0.01282033075	0	0	62	R	1.11145988350148
chr11	61956762	61956763	Specc1	0	0	0.176319648	0.243400174	0.1876	0.2403	0	0.000785778	0	0	0	0	0.1592	0.0038	0.1436	0.0089	0.000381979	0.001269074	0.0679	0.0887	0.0047	0.4626	0.172065693	0.548221924	0.1049299555	0.0464700445	0	62	R	11.0958962947663
chr11	62248983	62248984	Adora2b	0	0	0	0	0	0	0	0	0.144638215	0.147810956	0.09093046	0.048359474	0.2753	0.0694	0.6241	0.001	0.000733948	0.002253154	0.1766	0.1587	0.1117	0.2923	0.188832334	0.574337867	0	0.4497	0.14415	63	R	10.9919068239232
chr11	62281394	62281395	Zswim7	0	0	0	0	0	0	0	0	0.043125301	0.11683666	0.193635056	0.156340247	0	0.5068	0	0.5044	0.604315395	0.608316432	0	0.5045	0	0.5015	0.600723822	0.611534142	0	0	0	63	R	1.01072744852518
chr11	62281472	62281473	Ttc19	0	0	0.325102864	0.294997804	0	0	0.276879659	0.126824859	0	0	0	0	0.0517	0.2135	0.1022	0.0681	0.076053835	0.131757073	0	0.504	0	0.5033	0.601625156	0.611534142	0.155025167	0	0	63	R	4.12130809169477
chr11	62457331	62457332	Ncor1	0	0.034123756	0	0	0	0	0.044524201	0.025710345	0	0	0.100563599	0.131115905	0.0834	4e-04	0.1107	0	0	0	0.0062	0.3829	0.0684	0.0017	0.005426874	0.048505688	0.008530939	0.088519061	0.028769061	63	R	6.84823455836902
chr11	62458459	62458460	Pigl	0.058946848	0	0.205206983	0.115567894	0	0	0	0.162837649	0.035682687	0.008800114	0	0	0.0102	0.4182	0	0.5081	0.54160334	0.608316432	0	0.5086	0.1091	0.0256	0.069544012	0.309424901	0.09493043125	0	0	63	R	0.423736737895383
chr11	62539260	62539261	Cenpv	0	0.02970496	0.019589759	0.316169352	0.0153	0.2506	0	0.192058515	0	0	0.185214443	0.160443621	0	0.4944	0	0.5019	0.593987254	0.608316432	0	0.5024	0.0453	0.2993	0.435266293	0.611534142	0.09136601775	0	0	63	R	1.01072744852518
chr11	62602876	62602877	2410006H16Rik	0	0	0.02199434	0	0	0	0.041833538	0.013164442	0.011198167	0	0	0.007497706	0.0304	0.1945	0	0.5045	0.325924054	0.4419323	0	0.5024	0	0.4924	0.59293018	0.611534142	0.005498585	0.009701415	0	63	R	1.66048053452979
chr11	62648522	62648523	Lrrc75a	0	0	0	0	0.0567	0	0.137237417	0.218829083	0.429264359	0.481780227	0	0	0.0829	0.1732	0	0.5019	0.299267498	0.414623009	0	0.502	0	0.5004	0.598235373	0.611534142	0	0.04145	0	63	R	1.7901857380731
chr11	62648663	62648664	Mmgt2	0.280938577	0.125782755	0	0.335139036	0	0.2345	0	0.051594946	0	0	0	0	0.3901	0.0011	0.1053	0.1814	0.00189952	0.005241845	0	0.4926	0.229	0.0236	0.063411298	0.28849284	0.185465092	0.062234908	0	63	R	4.22423367608916
chr11	62789416	62789417	Zfp286	0	0	0	0.101154673	0	0.0073	0.415126369	0.172080789	0	0	0	0.120778504	0.2747	0.0363	0	0.5115	0.092583716	0.155073885	0	0.4992	0	0.4977	0.594422581	0.611534142	0.02528866825	0.11206133175	0	63	R	3.78998042326774
chr11	62879489	62879490	Tvp23b	0.092344379	0	0.108727573	0.076373012	0.0681	0.1221	0.120265251	0	0	0	0.004721319	0.008515931	0.1333	0.0268	0.25	4e-04	0.000133393	0.000493506	0.0529	0.1744	0	0.5021	0.300821536	0.611534142	0.069361241	0.122288759	0	63	R	15.4823376105157
chr11	63131509	63131510	Pmp22	0	0	0	0	0.098	0.4879	0.230890881	0.038664438	0	0	0.095780934	0	0	0.5046	0	0.5065	0.604247162	0.608316432	0.0626	0.3926	0.0887	0.3253	0.390542034	0.611534142	0	0	0.07565	64	R	1.01072744852518
chr11	63922283	63922284	Hs3st3b1	0.082384237	0	0.366952227	0.431765712	0	0.0261	0.772494339	0.263283187	0.837323772	0.880212887	0	0	0.1846	0.01	0.2175	0.0046	0.000505396	0.001636058	0	0.4984	0	0.5054	0.599188435	0.611534142	0.220275544	0	0	64	R	13.0452771503627
chr11	64079471	64079472	Cox10	0.071543024	0.068003745	0.001521663	0	0	0.0132	0	0	0	0	0.085155164	0.098138409	0	0.499	0	0.4971	0.593866734	0.608316432	0.065	0.085	0.0094	0.4097	0.151745464	0.505818215	0.035267108	0	0.00193289200000001	65	R	0.729278429751301
chr11	64079483	64079484	2810001G20Rik	0.062575713	0	0.009275612	0	0.2752	0	0.460351592	0.01011776	0	0	0	0.093457124	0	0.4988	0	0.4924	0.590447751	0.608316432	0.0772	0.2707	0	0.5017	0.406954831	0.611534142	0.01796283125	0	0.02063716875	65	R	1.01072744852518
chr11	64435331	64435332	Hs3st3a1	0	0	0	0.200541415	1	0	0.835230029	0	0	0	0.211223949	0.098089442	0.3761	0.0492	0.0667	0.3921	0.095455381	0.159092302	0.2815	0.0365	0.0538	0.3455	0.067760153	0.304167799	0.05013535375	0.17126464625	0.11751464625	65	R	1.54453719431974
chr11	64979034	64979035	Elac2	0	0.18957685	0	0	0.0856	0	0.164236825	0.024038252	0	0.004814701	0	0	0	0.5038	0.0068	0.461	0.571323902	0.608316432	0	0.4914	0.0957	0.1244	0.23197367	0.611534142	0.0473942125	0	0.000455787499999999	65	R	1.01072744852518
